stn,time,temperatur,sonne,niederschlag,tempdiff,datum,stunde,zeitperiode,namestn
PRE,2022-03-11 18:00:00,9.338095238095239,7760.995,0.0,-2.9523809523809526,11 mars 2022,18,la soirée,St-Prex
STC,2022-03-11 18:00:00,8.204761904761904,12577.589999999998,0.0,-0.7476190476190485,11 mars 2022,18,la soirée,St. Chrischona
STG,2022-03-11 18:00:00,6.052380952380953,13153.874999999996,0.0,-2.32857142857143,11 mars 2022,18,la soirée,St. Gallen
SMM,2022-03-11 18:00:00,-0.2619047619047619,14599.874999999996,0.0,-0.8952380952380952,11 mars 2022,18,la soirée,Sta. Maria Val Müstair
SBO,2022-03-11 18:00:00,6.457142857142857,2031.3200000000002,0.0,-1.704761904761904,11 mars 2022,18,la soirée,Stabio
STK,2022-03-11 18:00:00,7.809523809523809,12490.075,0.0,-1.2142857142857162,11 mars 2022,18,la soirée,Steckborn
SAE,2022-03-11 18:00:00,-4.914285714285715,12380.445,0.0,-3.0714285714285716,11 mars 2022,18,la soirée,Säntis
THU,2022-03-11 18:00:00,8.042857142857144,9403.314999999999,0.0,-3.8285714285714256,11 mars 2022,18,la soirée,Thun
TIT,2022-03-11 18:00:00,-7.185714285714286,12400.560000000001,0.0,-0.25238095238095326,11 mars 2022,18,la soirée,Titlis
UEB,2022-03-11 18:00:00,5.409523809523809,12137.154999999997,0.0,-2.0476190476190483,11 mars 2022,18,la soirée,Uetliberg
ULR,2022-03-11 18:00:00,0.43809523809523804,7617.285000000001,0.0,0.7952380952380951,11 mars 2022,18,la soirée,Ulrichen
VAD,2022-03-11 18:00:00,8.399999999999997,12749.900000000001,0.0,-4.004761904761908,11 mars 2022,18,la soirée,Vaduz
VAB,2022-03-11 18:00:00,-1.061904761904762,11851.599999999997,0.0,-2.6952380952380954,11 mars 2022,18,la soirée,Valbella
VLS,2022-03-11 18:00:00,-0.06666666666666668,8853.130000000001,0.0,-0.05714285714285717,11 mars 2022,18,la soirée,Vals
VEV,2022-03-11 18:00:00,9.923809523809524,8126.32,0.0,-1.2523809523809515,11 mars 2022,18,la soirée,Vevey / Corseaux
VIO,2022-03-11 18:00:00,0.7523809523809523,4253.69,0.0,-0.26666666666666716,11 mars 2022,18,la soirée,Vicosoprano
VIT,2022-03-11 18:00:00,7.038095238095237,8086.555,0.0,-1.9333333333333345,11 mars 2022,18,la soirée,Villars-Tiercelin
VIS,2022-03-11 18:00:00,5.928571428571429,7060.575,0.0,-2.9666666666666703,11 mars 2022,18,la soirée,Visp
WFJ,2022-03-11 18:00:00,-8.552380952380954,12344.474999999999,0.0,-0.680952380952383,11 mars 2022,18,la soirée,Weissfluhjoch
WYN,2022-03-11 18:00:00,7.9380952380952365,12210.999999999998,0.0,-1.5809523809523824,11 mars 2022,18,la soirée,Wynau
WAE,2022-03-11 18:00:00,7.557142857142858,11454.175,0.0,-2.209523809523808,11 mars 2022,18,la soirée,Wädenswil
PSI,2022-03-11 18:00:00,8.019047619047617,12829.48,0.0,-2.200000000000003,11 mars 2022,18,la soirée,Würenlingen / PSI
ZER,2022-03-11 18:00:00,-1.0523809523809526,8526.049999999997,0.0,-1.3333333333333335,11 mars 2022,18,la soirée,Zermatt
REH,2022-03-11 18:00:00,6.861904761904761,11765.075000000003,0.0,-3.200000000000001,11 mars 2022,18,la soirée,Zürich / Affoltern
SMA,2022-03-11 18:00:00,7.4190476190476184,11829.380000000001,0.0,-2.323809523809527,11 mars 2022,18,la soirée,Zürich / Fluntern
KLO,2022-03-11 18:00:00,6.8619047619047615,11798.88,0.0,-3.476190476190477,11 mars 2022,18,la soirée,Zürich / Kloten
MSK,2022-03-11 18:00:00,7.409523809523809,8943.970000000001,0.0,-1.5619047619047643,11 mars 2022,18,la soirée,
BRN,2022-03-11 18:00:00,8.728571428571428,8648.14,0.0,-3.0095238095238113,11 mars 2022,18,la soirée,
ALP,2022-03-11 18:00:00,9.266666666666666,12225.170000000002,0.0,-2.6095238095238127,11 mars 2022,18,la soirée,
DLSTU,2022-03-11 18:00:00,5.857142857142857,15620.075000000003,0.0,-3.1523809523809527,11 mars 2022,18,la soirée,
OSFEK,2022-03-11 18:00:00,8.042857142857143,13893.685000000001,0.0,-5.890476190476191,11 mars 2022,18,la soirée,
TSG,2022-03-11 18:00:00,-3.2857142857142856,11623.640000000001,0.0,-1.0714285714285716,11 mars 2022,18,la soirée,
ARD,2022-03-11 18:00:00,-2.380952380952381,11755.439999999999,0.0,-0.7380952380952388,11 mars 2022,18,la soirée,
FRSTR,2022-03-11 18:00:00,8.295238095238094,12941.995,0.0,-1.576190476190476,11 mars 2022,18,la soirée,
FRBES,2022-03-11 18:00:00,11.395238095238096,2668.285,0.0,-3.961904761904764,11 mars 2022,18,la soirée,
LMA,2022-03-11 18:00:00,7.233333333333333,2548.9050000000007,0.0,-1.2571428571428553,11 mars 2022,18,la soirée,
MEE,2022-03-11 18:00:00,6.2714285714285705,9569.415000000003,0.0,-3.3952380952380956,11 mars 2022,18,la soirée,
PAA,2022-03-11 18:00:00,9.376190476190473,9308.295,0.0,-1.1714285714285744,11 mars 2022,18,la soirée,
SIR,2022-03-11 18:00:00,7.942857142857143,8733.595,0.0,-4.838095238095239,11 mars 2022,18,la soirée,
OSGAN,2022-03-11 18:00:00,3.690476190476191,14165.125,0.0,-0.5190476190476185,11 mars 2022,18,la soirée,
OSVER,2022-03-11 18:00:00,-1.1095238095238096,14747.515000000003,0.0,-1.2095238095238097,11 mars 2022,18,la soirée,
OSFOR,2022-03-11 18:00:00,-2.2952380952380955,15101.765000000003,0.0,-0.9047619047619051,11 mars 2022,18,la soirée,
OSLAU,2022-03-11 18:00:00,3.1380952380952376,14083.345000000001,0.0,-0.43333333333333446,11 mars 2022,18,la soirée,
OSTHU,2022-03-11 18:00:00,7.328571428571427,13658.259999999998,0.0,-5.061904761904762,11 mars 2022,18,la soirée,
OSFAS,2022-03-11 18:00:00,-0.04761904761904761,15082.314999999999,0.0,-0.680952380952381,11 mars 2022,18,la soirée,
OSINL,2022-03-11 18:00:00,5.1000000000000005,14834.465,0.0,-4.004761904761904,11 mars 2022,18,la soirée,
DUB,2022-03-11 18:00:00,6.957142857142857,11479.125000000002,0.0,-3.4904761904761905,11 mars 2022,18,la soirée,
BUO,2022-03-11 18:00:00,7.576190476190478,12744.844999999998,0.0,-2.7047619047619005,11 mars 2022,18,la soirée,
EMM,2022-03-11 18:00:00,7.219047619047619,12725.995000000004,0.0,-3.519047619047618,11 mars 2022,18,la soirée,
DLMUN,2022-03-11 18:00:00,0.719047619047619,15413.070000000002,0.0,-6.057142857142858,11 mars 2022,18,la soirée,
AGN,2022-03-11 18:00:00,6.904761904761903,1640.765,0.0,-1.0285714285714311,11 mars 2022,18,la soirée,
